skip: a-big-triangle, already converted
skip: a11y-dialog, flow-typed exists
skip: abbrev, already converted
skip: abs, already converted
skip: absolute, already converted
skip: abstract-leveldown, already converted
skip: acc-wizard, already converted
skip: accept, already converted
skip: accept-language-parser, already converted
skip: accepts, already converted
skip: accounting, already converted
skip: ace, already converted
skip: ace-diff, already converted
skip: acl, already converted
skip: acorn, already converted
skip: actioncable, already converted
skip: actions-on-google, already converted
skip: active-win, already converted
skip: activedirectory2, already converted
skip: activestorage, already converted
skip: activex-access, already converted
skip: activex-adodb, already converted
skip: activex-adox, already converted
skip: activex-dao, already converted
skip: activex-diskquota, already converted
skip: activex-excel, already converted
skip: activex-faxcomexlib, already converted
skip: activex-infopath, already converted
skip: activex-interop, already converted
skip: activex-iwshruntimelibrary, already converted
skip: activex-libreoffice, already converted
skip: activex-msforms, already converted
skip: activex-mshtml, already converted
skip: activex-msxml2, already converted
skip: activex-office, already converted
skip: activex-outlook, already converted
skip: activex-powerpoint, already converted
skip: activex-scripting, already converted
skip: activex-shdocvw, already converted
skip: activex-shell, already converted
skip: activex-stdole, already converted
skip: activex-vbide, already converted
skip: activex-wia, already converted
skip: activex-word, already converted
skip: adal-angular, already converted
skip: add-zero, already converted
skip: add2home, already converted
skip: adlib, already converted
skip: adm-zip, already converted
skip: adone, already converted
skip: aes-js, already converted
skip: aframe, already converted
skip: agenda, already converted
skip: agent-base, already converted
skip: aggregate-error, already converted
skip: agora-rtc-sdk, already converted
skip: airbnb-prop-types, already converted
skip: ajv-errors, already converted
skip: ale-url-parser, already converted
skip: alertify, already converted
skip: alexa-sdk, already converted
skip: alexa-voice-service, already converted
skip: algebra.js, already converted
skip: algoliasearch, flow-typed exists
skip: ali-app, already converted
skip: ali-oss, already converted
skip: all-keys, already converted
skip: all-property-names, already converted
skip: allure-js-commons, already converted
skip: almost-equal, already converted
skip: alt, already converted
skip: amap-js-sdk, already converted
skip: amazon-cognito-auth-js, already converted
skip: amazon-product-api, already converted
skip: amcharts, already converted
skip: amp, already converted
skip: amp-message, already converted
skip: amphtml-validator, already converted
skip: amplify, already converted
skip: amplify-deferred, already converted
skip: amplitude-js, flow-typed exists
skip: amqp, already converted
skip: amqp-connection-manager, already converted
skip: amqp-rpc, already converted
skip: amqplib, flow-typed exists
skip: analytics-node, already converted
skip: anchor-js, already converted
skip: angular, flow-typed exists
skip: angular-agility, already converted
skip: angular-animate, already converted
skip: angular-block-ui, already converted
skip: angular-bootstrap-calendar, already converted
skip: angular-bootstrap-lightbox, already converted
skip: angular-breadcrumb, already converted
skip: angular-clipboard, already converted
skip: angular-cookie, already converted
skip: angular-cookies, already converted
skip: angular-deferred-bootstrap, already converted
skip: angular-desktop-notification, already converted
skip: angular-dialog-service, already converted
skip: angular-dynamic-locale, already converted
skip: angular-environment, already converted
skip: angular-es, already converted
skip: angular-feature-flags, already converted
skip: angular-file-saver, already converted
skip: angular-file-upload, already converted
skip: angular-formly, already converted
skip: angular-fullscreen, already converted
skip: angular-gettext, already converted
skip: angular-google-analytics, already converted
skip: angular-gridster, already converted
skip: angular-growl-v2, already converted
skip: angular-hotkeys, already converted
skip: angular-http-auth, already converted
skip: angular-httpi, already converted
skip: angular-idle, already converted
skip: angular-jwt, already converted
skip: angular-load, already converted
skip: angular-loading-bar, already converted
skip: angular-local-storage, already converted
skip: angular-localforage, already converted
skip: angular-locker, already converted
skip: angular-material, already converted
skip: angular-media-queries, already converted
skip: angular-meteor, already converted
skip: angular-mocks, already converted
skip: angular-modal, already converted
skip: angular-notifications, already converted
skip: angular-notify, already converted
skip: angular-oauth2, already converted
skip: angular-odata-resources, already converted
skip: angular-pdfjs-viewer, already converted
skip: angular-permission, already converted
skip: angular-promise-tracker, already converted
skip: angular-q-extras, already converted
skip: angular-q-spread, already converted
skip: angular-resource, already converted
skip: angular-route, already converted
skip: angular-sanitize, already converted
skip: angular-scenario, already converted
skip: angular-scroll, already converted
skip: angular-signalr-hub, already converted
skip: angular-spinner, already converted
skip: angular-storage, already converted
skip: angular-strap, already converted
skip: angular-toastr, already converted
skip: angular-toasty, already converted
skip: angular-tooltips, already converted
skip: angular-translate, already converted
skip: angular-ui-bootstrap, already converted
skip: angular-ui-notification, already converted
skip: angular-ui-router, already converted
skip: angular-ui-scroll, already converted
skip: angular-ui-sortable, already converted
skip: angular-ui-tree, already converted
skip: angular-websocket, already converted
skip: angular-wizard, already converted
skip: angular-xeditable, already converted
skip: angular.throttle, already converted
skip: angularfire, already converted
skip: angularlocalstorage, already converted
skip: angulartics, already converted
skip: animation-frame, already converted
skip: animejs, already converted
skip: annyang, already converted
skip: ansi, already converted
skip: ansi-colors, already converted
skip: ansi-escape-sequences, already converted
skip: ansi-escapes, already converted
skip: ansi-regex, already converted
skip: ansi-styles, already converted
skip: ansicolors, already converted
skip: antlr4, already converted
skip: antlr4-autosuggest, already converted
skip: any-db, already converted
skip: any-db-transaction, already converted
skip: anybar, already converted
skip: anymatch, already converted
skip: aos, already converted
skip: apex.js, already converted
skip: aphrodite, flow-typed exists
skip: api-error-handler, already converted
skip: apicache, already converted
skip: apigee-access, already converted
skip: apollo-codegen, already converted
skip: apollo-upload-client, already converted
skip: apostrophe, already converted
skip: app-module-path, already converted
skip: app-root-dir, already converted
skip: app-root-path, already converted
skip: appdmg, already converted
skip: appframework, already converted
skip: applepayjs, already converted
skip: appletvjs, already converted
skip: applicationinsights-js, already converted
skip: aqb, already converted
skip: arangodb, already converted
skip: arbiter, already converted
skip: arcgis-js-api, already converted
skip: arcgis-rest-api, already converted
skip: arcgis-to-geojson-utils, already converted
skip: archiver, flow-typed exists
skip: archy, already converted
skip: are-we-there-yet, already converted
skip: argon2-browser, already converted
skip: argparse, already converted
skip: args, already converted
skip: argv, already converted
skip: arr-diff, already converted
skip: arr-union, already converted
skip: array-find-index, already converted
skip: array-foreach, already converted
skip: array-move, already converted
skip: array-sort, already converted
skip: array-uniq, flow-typed exists
skip: array-unique, already converted
skip: array.prototype.flatmap, already converted
skip: arrify, already converted
skip: artillery, already converted
skip: asana, already converted
skip: asap, already converted
skip: ascii-art, already converted
skip: ascii2mathml, already converted
skip: asciify, already converted
skip: asenv, already converted
skip: asn1js, already converted
skip: aspnet-identity-pw, already converted
skip: assert, already converted
skip: assert-equal-jsx, already converted
skip: assert-plus, already converted
skip: assertsharp, already converted
skip: assets-webpack-plugin, already converted
skip: astring, already converted
skip: async, already converted
skip: async-busboy, already converted
skip: async-cache, already converted
skip: async-lock, already converted
skip: async-polling, already converted
skip: async-retry, already converted
skip: async-writer, already converted
skip: async.nexttick, already converted
skip: asynciterator, already converted
skip: athenajs, already converted
skip: @atlaskit/button, already converted
skip: @atlaskit/calendar, already converted
skip: @atlaskit/inline-edit, already converted
skip: @atlaskit/layer, already converted
skip: @atlaskit/single-select, already converted
skip: @atlaskit/tree, already converted
skip: atlassian-crowd-client, already converted
skip: atmosphere.js, already converted
skip: atob, already converted
skip: atom, already converted
skip: atom-keymap, already converted
skip: atom-mocha-test-runner, already converted
skip: atpl, already converted
skip: audiosprite, already converted
skip: auth-header, already converted
skip: auth0, already converted
skip: auth0-angular, already converted
skip: auth0-js, already converted
skip: auth0-lock, already converted
skip: auth0.widget, already converted
skip: auto-bind, already converted
skip: auto-launch, already converted
skip: auto-sni, already converted
skip: autobahn, already converted
skip: autolinker, already converted
skip: autoprefixer, already converted
skip: autoprefixer-core, already converted
skip: autosize, already converted
skip: autosuggest-highlight, already converted
skip: avoscloud-sdk, already converted
skip: await-timeout, already converted
skip: awesomplete, already converted
skip: aws-iot-device-sdk, already converted
skip: aws-lambda, already converted
skip: aws-lambda-mock-context, already converted
skip: aws-serverless-express, already converted
skip: aws4, already converted
skip: axe-webdriverjs, already converted
skip: axel, already converted
skip: axios-token-interceptor, already converted
skip: axon, already converted
skip: azure, already converted
